Ticker,Name,Sector,Industry,Country,Exchange
1JANATAMF,Janata Bank 1st Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
1STPRIMFMF,1st Prime Finance Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
AAMRANET,Aamra Networks Limited,Technology,Telecom Services,Bangladesh,DSE
AAMRATECH,Aamra Technologies Limited,Technology,IT Services,Bangladesh,DSE
ABB1STMF,AB Bank 1st Mutual Fund,Financial Services,Mutual Fund,Bangladesh,DSE
ABBANK,AB Bank PLC,Financial Services,Banking,Bangladesh,DSE
ACFL,Acorn Containers Ltd,Industrials,Packaging,Bangladesh,DSE
ACI,ACI Limited,Consumer Staples,Conglomerates,Bangladesh,DSE
ACIFORMULA,ACI Formulations Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
ACMELAB,Acme Laboratories Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
ACMEPL,The Acme Pesticides Ltd,Consumer Staples,Agrochemicals,Bangladesh,DSE
ACTIVEFINE,Active Fine Chemicals Ltd,Basic Materials,Chemicals,Bangladesh,DSE
ADNTEL,ADN Telecom Ltd,Technology,Telecom Services,Bangladesh,DSE
ADVENT,Advent Pharma Ltd,Healthcare,Pharmaceuticals,Bangladesh,DSE
AFCAGRO,AFC Agro Biotech Ltd,Consumer Staples,Agriculture,Bangladesh,DSE
AFTABAUTO,Aftab Automobiles Ltd,Consumer Discretionary,Automobiles,Bangladesh,DSE
AGNISYSL,Agni Systems Ltd,Technology,IT Services,Bangladesh,DSE
AGRANINS,Agrani Insurance Company Ltd,Financial Services,Insurance,Bangladesh,DSE
AIBL1STIMF,Al-Arafah Islami Bank 1st MF,Financial Services,Mutual Fund,Bangladesh,DSE
AIL,Accumulated Income Ltd,Financial Services,Investment,Bangladesh,DSE
AL-HAJTEX,Al-Haj Textile Mills Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
ALARABANK,Al-Arafah Islami Bank PLC,Financial Services,Banking,Bangladesh,DSE
ALIF,Alif Industries Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
ALLTEX,Alltex Industries Ltd,Consumer Discretionary,Textiles,Bangladesh,DSE
